1,2,3,4,5,6,7,8,9,10,11,12
I,70,70,70,70,70,70,70,70,70,70,70
J,10,10,10,10,10,10,10,10,10,10,10
cv,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
D,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500
instance,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt,8.txt
method,iter_cuts,lazy_cuts,benders,bendersWS1,bendersWS2,bendersMW,bendersPK,bendersSH,bendersFC,heur_NM,heur_FB
of,3649.0153 - 3649.0387,3649.0341,3996.5774,4450.5163,4609.0373,3916.2018,4667.298,4246.6739,3791.8366,3663.5097,4016.2195
FC,1705.6408 - 1705.6408,1705.6408,1860.0869,2585.0524,1925.6629,2104.8647,2942.6377,2287.9862,1433.4971,1546.3082,1917.8517
AC,1523.3292 - 1523.3292,1523.3316,1654.0154,1572.6017,2056.5715,1547.3771,1528.5507,1647.5351,2418.4324,1715.1452,1614.3915
CC,420.0453 - 420.0686,420.0617,482.4761,292.863,598.807,263.9609,196.1097,311.2637,406.2814,402.061,483.9763
y,"[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 0, 0, 3, 4, 4, 4, 0, 5]","[0, 0, 5, 5, 0, 0, 0, 5, 4, 0]","[0, 0, 4, 0, 5, 5, 0, 5, 4, 5]","[5, 2, 0, 0, 1, 3, 2, 5, 0, 0]","[0, 0, 0, 0, 0, 5, 5, 5, 5, 5]","[5, 5, 5, 0, 5, 0, 5, 0, 5, 5]","[5, 0, 4, 5, 0, 0, 0, 5, 5, 0]","[0, 5, 0, 0, 0, 0, 5, 5, 0, 5]","[0, 0, 0, 0, 0, 5, 5, 5, 0, 5]","[5, 0, 2, 1, 0, 2, 0, 0, 4, 5]"
CPU_t_s,37.89,32.267,6.53,5.36,5.578,33.969,10.718,5.0,0.969,14.61,1.0
status,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,optimal,none,none
