1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
I,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
J,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
cv,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.5,1.5,1.5,1.5,1.5
D,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500,72500
instance,6_1.txt,6_1.txt,6_1.txt,6_1.txt,6_1.txt,6_2.txt,6_2.txt,6_2.txt,6_2.txt,6_2.txt,6_3.txt,6_3.txt,6_3.txt,6_3.txt,6_3.txt
method,iter_cuts,lazy_cuts,benders,bendersPK,bendersIter,iter_cuts,lazy_cuts,benders,bendersPK,bendersIter,iter_cuts,lazy_cuts,benders,bendersPK,bendersIter
of,1691.9768 - 1691.9916,1691.9894,1691.9889,1880.1996,1691.9313,1800.1573 - 1800.164,1800.163,1800.1626,2096.6613,1799.966,1914.4699 - 1914.487,1914.4834,1914.483,2223.5001,1914.2972
FC,499.0242 - 499.0242,499.0242,499.0242,720.5146,499.0242,660.1081 - 660.1081,660.1081,660.1081,801.0565,660.1081,660.1081 - 660.1081,660.1081,660.1081,660.1081,660.1081
AC,799.2364 - 799.2364,799.2067,799.2014,821.6085,799.2127,821.9257 - 821.9257,821.7198,821.7812,843.8393,822.3475,829.1098 - 828.5204,828.7458,828.7418,829.1697,829.2504
CC,393.7162 - 393.731,393.7584,393.7638,224.8351,393.6944,318.1235 - 318.1302,318.3351,318.2733,240.1244,317.5105,425.252 - 425.8585,425.6295,425.6335,424.9031,424.9387
y,"[5, 1, 0]","[5, 1, 0]","[5, 1, 0]","[5, 4, 0]","[5, 1, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 5, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]","[5, 3, 0]"
CPU_t_s,3.142,0.204,0.531,0.187,2.141,1.312,0.25,1.375,0.25,4.937,1.063,0.296,1.469,0.25,7.282
status,optimal,optimal,optimal,optimal,none,optimal,optimal,optimal,optimal,none,optimal,optimal,optimal,optimal,none
